Date,Jeans,Date,Slacks,Date,Skirt,Date,Leggings,Date,Shorts
2016-01-01,4.7699,2016-01-01,5.20895,2016-01-01,3.67228,2016-01-01,5.27941,2016-01-01,0.85641
2016-01-02,5.39324,2016-01-02,5.94612,2016-01-02,4.29291,2016-01-02,5.91902,2016-01-02,1.08948
2016-01-03,6.07349,2016-01-03,7.35541,2016-01-03,5.04363,2016-01-03,6.17648,2016-01-03,1.35779
2016-01-04,5.86481,2016-01-04,6.64263,2016-01-04,4.89186,2016-01-04,6.68599,2016-01-04,1.41471
2016-01-05,5.67239,2016-01-05,6.21984,2016-01-05,5.26315,2016-01-05,6.88655,2016-01-05,1.39573
2016-01-06,5.8079,2016-01-06,6.29573,2016-01-06,5.32007,2016-01-06,7.56409,2016-01-06,1.34153
2016-01-07,5.46642,2016-01-07,6.10873,2016-01-07,5.51249,2016-01-07,7.47194,2016-01-07,1.3876
2016-01-08,4.94606,2016-01-08,5.68052,2016-01-08,4.91896,2016-01-08,6.70768,2016-01-08,1.30088
2016-01-09,5.05718,2016-01-09,5.73743,2016-01-09,4.98129,2016-01-09,5.47726,2016-01-09,1.16266
2016-01-10,6.48544,2016-01-10,6.68057,2016-01-10,5.87294,2016-01-10,6.2605,2016-01-10,1.44994
2016-01-11,5.84313,2016-01-11,6.43124,2016-01-11,5.74556,2016-01-11,7.11962,2016-01-11,1.44994
2016-01-12,5.67781,2016-01-12,6.45021,2016-01-12,6.27134,2016-01-12,7.62913,2016-01-12,1.49601
2016-01-13,5.64529,2016-01-13,6.73207,2016-01-13,5.79435,2016-01-13,7.46652,2016-01-13,1.47704
2016-01-14,5.47726,2016-01-14,6.49357,2016-01-14,6.43937,2016-01-14,7.47465,2016-01-14,1.32256
2016-01-15,5.01653,2016-01-15,5.66155,2016-01-15,5.81603,2016-01-15,6.07078,2016-01-15,1.10575
2016-01-16,4.69131,2016-01-16,6.17919,2016-01-16,5.57753,2016-01-16,5.42847,2016-01-16,1.07864
2016-01-17,5.8621,2016-01-17,7.11962,2016-01-17,6.31199,2016-01-17,6.05994,2016-01-17,1.39031
2016-01-18,5.835,2016-01-18,6.7131,2016-01-18,6.21984,2016-01-18,7.61016,2016-01-18,1.44994
2016-01-19,5.32549,2016-01-19,6.6887,2016-01-19,6.51525,2016-01-19,8.74573,2016-01-19,1.36321
2016-01-20,5.61277,2016-01-20,6.35535,2016-01-20,6.41769,2016-01-20,7.78361,2016-01-20,1.45536
2016-01-21,5.41221,2016-01-21,6.34451,2016-01-21,6.20358,2016-01-21,7.3798,2016-01-21,1.39302
2016-01-22,4.8485,2016-01-22,5.61548,2016-01-22,6.12499,2016-01-22,6.8486,2016-01-22,1.34966
2016-01-23,4.9298,2016-01-23,6.03284,2016-01-23,6.23611,2016-01-23,6.49086,2016-01-23,1.17621
2016-01-24,5.69678,2016-01-24,6.2605,2016-01-24,7.13588,2016-01-24,7.34999,2016-01-24,1.42284
2016-01-25,5.71575,2016-01-25,6.32825,2016-01-25,6.80524,2016-01-25,7.64269,2016-01-25,1.54479
2016-01-26,5.76996,2016-01-26,6.32554,2016-01-26,7.12233,2016-01-26,7.07626,2016-01-26,1.47975
2016-01-27,5.75098,2016-01-27,6.23611,2016-01-27,7.40961,2016-01-27,7.23887,2016-01-27,1.31443
2016-01-28,5.56127,2016-01-28,5.94341,2016-01-28,7.38251,2016-01-28,6.35806,2016-01-28,1.4391
2016-01-29,5.02737,2016-01-29,5.80519,2016-01-29,7.37709,2016-01-29,5.50707,2016-01-29,1.28733
2016-01-30,5.99761,2016-01-30,6.31199,2016-01-30,7.1657,2016-01-30,5.09241,2016-01-30,1.34695
2016-01-31,6.40685,2016-01-31,7.65353,2016-01-31,8.71591,2016-01-31,6.21442,2016-01-31,1.39302
2016-02-01,6.54507,2016-02-01,6.72665,2016-02-01,8.43948,2016-02-01,5.85939,2016-02-01,1.29546
2016-02-02,6.18461,2016-02-02,6.65618,2016-02-02,7.53699,2016-02-02,5.59379,2016-02-02,1.12201
2016-02-03,5.88107,2016-02-03,6.49628,2016-02-03,7.28765,2016-02-03,4.74009,2016-02-03,1.32798
2016-02-04,5.7022,2016-02-04,6.11144,2016-02-04,6.96243,2016-02-04,3.91891,2016-02-04,1.13285
2016-02-05,5.65613,2016-02-05,5.89462,2016-02-05,6.39872,2016-02-05,3.40939,2016-02-05,0.96753
2016-02-06,6.38245,2016-02-06,6.69955,2016-02-06,6.48273,2016-02-06,3.4636,2016-02-06,1.16537
2016-02-07,5.28483,2016-02-07,6.73749,2016-02-07,6.39872,2016-02-07,2.95137,2016-02-07,1.10304
2016-02-08,6.11415,2016-02-08,8.87039,2016-02-08,6.53422,2016-02-08,2.76166,2016-02-08,1.09762
2016-02-09,7.63727,2016-02-09,13.66469,2016-02-09,7.32831,2016-02-09,3.45276,2016-02-09,1.40658
2016-02-10,8.83787,2016-02-10,12.64838,2016-02-10,9.20375,2016-02-10,4.20347,2016-02-10,1.72909
2016-02-11,9.01403,2016-02-11,10.73499,2016-02-11,9.13599,2016-02-11,4.44468,2016-02-11,1.71825
2016-02-12,8.57499,2016-02-12,10.48024,2016-02-12,9.25524,2016-02-12,4.22245,2016-02-12,1.69927
2016-02-13,8.49639,2016-02-13,10.23903,2016-02-13,8.98422,2016-02-13,3.90807,2016-02-13,1.61526
2016-02-14,9.36636,2016-02-14,10.36641,2016-02-14,9.50458,2016-02-14,4.12759,2016-02-14,1.80768
2016-02-15,8.24163,2016-02-15,9.40701,2016-02-15,9.04385,2016-02-15,4.6886,2016-02-15,1.81852
2016-02-16,9.02487,2016-02-16,9.95175,2016-02-16,8.67797,2016-02-16,4.15469,2016-02-16,1.81581
2016-02-17,9.30944,2016-02-17,9.39617,2016-02-17,8.39611,2016-02-17,4.40945,2016-02-17,1.55292
2016-02-18,9.15225,2016-02-18,9.57504,2016-02-18,8.75657,2016-02-18,4.07881,2016-02-18,1.55563
2016-02-19,8.40424,2016-02-19,8.7132,2016-02-19,8.19827,2016-02-19,4.06526,2016-02-19,1.53937
2016-02-20,8.98151,2016-02-20,8.95712,2016-02-20,7.95707,2016-02-20,3.79966,2016-02-20,1.40658
2016-02-21,10.3095,2016-02-21,10.44501,2016-02-21,9.44766,2016-02-21,4.17908,2016-02-21,1.88899
2016-02-22,9.7241,2016-02-22,9.94362,2016-02-22,8.63732,2016-02-22,4.47178,2016-02-22,1.89983
2016-02-23,10.30408,2016-02-23,10.95723,2016-02-23,8.91376,2016-02-23,4.67233,2016-02-23,1.84291
2016-02-24,9.24169,2016-02-24,9.59672,2016-02-24,8.53704,2016-02-24,4.18179,2016-02-24,1.92693
2016-02-25,9.02758,2016-02-25,9.79185,2016-02-25,8.53162,2016-02-25,4.34711,2016-02-25,1.8402
2016-02-26,8.54517,2016-02-26,8.95441,2016-02-26,8.08444,2016-02-26,3.78882,2016-02-26,1.56919
2016-02-27,9.2444,2016-02-27,9.56149,2016-02-27,8.57499,2016-02-27,3.75359,2016-02-27,1.68572
2016-02-28,10.78107,2016-02-28,10.41519,2016-02-28,10.61846,2016-02-28,3.77256,2016-02-28,1.93506
2016-02-29,9.23085,2016-02-29,9.09263,2016-02-29,9.01403,2016-02-29,4.17637,2016-02-29,1.79413
2016-03-01,9.20917,2016-03-01,10.61575,2016-03-01,11.20114,2016-03-01,4.48804,2016-03-01,1.72638
2016-03-02,7.89202,2016-03-02,8.46929,2016-03-02,8.33378,2016-03-02,3.96498,2016-03-02,1.47162
2016-03-03,7.30391,2016-03-03,8.58583,2016-03-03,8.04921,2016-03-03,4.08694,2016-03-03,1.42013
2016-03-04,7.0329,2016-03-04,8.70507,2016-03-04,8.43948,2016-03-04,4.32543,2016-03-04,1.70469
2016-03-05,9.22814,2016-03-05,10.92471,2016-03-05,10.05474,2016-03-05,4.29562,2016-03-05,2.05702
2016-03-06,10.9491,2016-03-06,13.22564,2016-03-06,11.56973,2016-03-06,4.46365,2016-03-06,2.68036
2016-03-07,9.16309,2016-03-07,10.87321,2016-03-07,10.6835,2016-03-07,5.0084,2016-03-07,2.35243
2016-03-08,9.01132,2016-03-08,10.0168,2016-03-08,10.40977,2016-03-08,5.02195,2016-03-08,2.13561
2016-03-09,8.08173,2016-03-09,9.14683,2016-03-09,9.0059,2016-03-09,4.33898,2016-03-09,1.72638
2016-03-10,7.50447,2016-03-10,9.38262,2016-03-10,8.93002,2016-03-10,3.94872,2016-03-10,1.84562
2016-03-11,7.63998,2016-03-11,8.56957,2016-03-11,8.07902,2016-03-11,3.53406,2016-03-11,1.786
2016-03-12,8.52891,2016-03-12,11.01956,2016-03-12,10.03306,2016-03-12,4.04086,2016-03-12,2.19524
2016-03-13,10.94639,2016-03-13,12.85164,2016-03-13,12.0413,2016-03-13,4.65607,2016-03-13,2.6126
2016-03-14,9.12786,2016-03-14,10.99246,2016-03-14,10.63743,2016-03-14,4.7428,2016-03-14,2.09496
2016-03-15,8.93815,2016-03-15,10.80546,2016-03-15,11.18217,2016-03-15,4.69944,2016-03-15,2.02992
2016-03-16,8.9246,2016-03-16,10.6022,2016-03-16,11.26077,2016-03-16,4.51243,2016-03-16,2.41476
2016-03-17,9.09805,2016-03-17,10.28782,2016-03-17,11.18759,2016-03-17,4.73467,2016-03-17,2.47438
2016-03-18,8.88666,2016-03-18,9.86503,2016-03-18,11.07919,2016-03-18,4.62626,2016-03-18,2.49336
2016-03-19,10.74312,2016-03-19,13.23106,2016-03-19,13.22835,2016-03-19,4.42571,2016-03-19,3.62892
2016-03-20,13.20396,2016-03-20,15.78676,2016-03-20,16.37487,2016-03-20,4.87831,2016-03-20,4.20347
2016-03-21,11.29058,2016-03-21,12.88958,2016-03-21,14.07935,2016-03-21,5.65884,2016-03-21,2.99203
2016-03-22,10.21464,2016-03-22,12.11176,2016-03-22,14.16336,2016-03-22,5.2496,2016-03-22,2.85923
2016-03-23,9.89213,2016-03-23,10.75126,2016-03-23,13.1877,2016-03-23,4.66691,2016-03-23,2.74269
2016-03-24,9.02487,2016-03-24,10.33389,2016-03-24,12.13886,2016-03-24,4.26581,2016-03-24,2.46896
2016-03-25,8.29584,2016-03-25,9.83793,2016-03-25,11.00872,2016-03-25,4.1032,2016-03-25,2.40934
2016-03-26,9.95446,2016-03-26,13.01696,2016-03-26,12.71342,2016-03-26,4.20347,2016-03-26,3.26846
2016-03-27,11.33936,2016-03-27,14.63764,2016-03-27,16.66485,2016-03-27,4.71841,2016-03-27,3.64247
2016-03-28,9.60214,2016-03-28,12.11176,2016-03-28,14.53466,2016-03-28,4.92438,2016-03-28,2.82129
2016-03-29,9.56149,2016-03-29,11.92476,2016-03-29,14.49943,2016-03-29,4.69944,2016-03-29,2.87278
2016-03-30,9.30944,2016-03-30,12.03588,2016-03-30,14.08748,2016-03-30,4.65607,2016-03-30,2.97848
2016-03-31,8.62106,2016-03-31,13.35031,2016-03-31,13.98178,2016-03-31,4.45281,2016-03-31,3.10043
