Date,Military,Date,Vintage,Date,Casual,Date,Formal,Date,Street
2016-01-01,16.95979,2016-01-01,3.89447,2016-01-01,3.26633,2016-01-01,1.13065,2016-01-01,0.87939
2016-01-02,20.22613,2016-01-02,3.26633,2016-01-02,5.65326,2016-01-02,0.87939,2016-01-02,1.25628
2016-01-03,22.3618,2016-01-03,6.2814,2016-01-03,5.27638,2016-01-03,4.14572,2016-01-03,0.75376
2016-01-04,17.46231,2016-01-04,7.1608,2016-01-04,6.03015,2016-01-04,4.39698,2016-01-04,2.38693
2016-01-05,14.94974,2016-01-05,4.27135,2016-01-05,4.27135,2016-01-05,3.26633,2016-01-05,0.62814
2016-01-06,19.09547,2016-01-06,6.78391,2016-01-06,6.65829,2016-01-06,4.14572,2016-01-06,0.62814
2016-01-07,17.83919,2016-01-07,6.40703,2016-01-07,4.89949,2016-01-07,5.52763,2016-01-07,0.87939
2016-01-08,17.96482,2016-01-08,2.76381,2016-01-08,5.52763,2016-01-08,6.78391,2016-01-08,0.87939
2016-01-09,22.23618,2016-01-09,5.65326,2016-01-09,5.15075,2016-01-09,4.0201,2016-01-09,0.62814
2016-01-10,19.34673,2016-01-10,5.27638,2016-01-10,5.27638,2016-01-10,5.65326,2016-01-10,1.13065
2016-01-11,19.72361,2016-01-11,4.52261,2016-01-11,6.78391,2016-01-11,5.02512,2016-01-11,1.75879
2016-01-12,17.96482,2016-01-12,6.90954,2016-01-12,7.1608,2016-01-12,9.04522,2016-01-12,1.13065
2016-01-13,18.59296,2016-01-13,8.0402,2016-01-13,5.90452,2016-01-13,4.27135,2016-01-13,0.87939
2016-01-14,16.45728,2016-01-14,5.40201,2016-01-14,6.15577,2016-01-14,5.52763,2016-01-14,1.50753
2016-01-15,15.95477,2016-01-15,6.03015,2016-01-15,5.27638,2016-01-15,7.1608,2016-01-15,1.00502
2016-01-16,18.46733,2016-01-16,5.52763,2016-01-16,3.89447,2016-01-16,3.01507,2016-01-16,0.87939
2016-01-17,17.33668,2016-01-17,6.78391,2016-01-17,4.89949,2016-01-17,2.01005,2016-01-17,0.75376
2016-01-18,16.95979,2016-01-18,6.2814,2016-01-18,4.39698,2016-01-18,5.15075,2016-01-18,0.75376
2016-01-19,13.94472,2016-01-19,5.40201,2016-01-19,6.15577,2016-01-19,6.90954,2016-01-19,1.25628
2016-01-20,14.44723,2016-01-20,7.1608,2016-01-20,5.65326,2016-01-20,8.54271,2016-01-20,2.38693
2016-01-21,19.47236,2016-01-21,5.77889,2016-01-21,6.2814,2016-01-21,3.89447,2016-01-21,1.25628
2016-01-22,20.22613,2016-01-22,7.91457,2016-01-22,4.39698,2016-01-22,4.52261,2016-01-22,0
2016-01-23,19.72361,2016-01-23,5.65326,2016-01-23,5.02512,2016-01-23,4.27135,2016-01-23,2.13567
2016-01-24,23.11557,2016-01-24,8.41708,2016-01-24,6.2814,2016-01-24,4.52261,2016-01-24,2.88944
2016-01-25,18.09045,2016-01-25,7.28643,2016-01-25,4.52261,2016-01-25,4.27135,2016-01-25,1.75879
2016-01-26,15.95477,2016-01-26,7.53768,2016-01-26,5.15075,2016-01-26,6.65829,2016-01-26,1.50753
2016-01-27,21.73366,2016-01-27,7.78894,2016-01-27,5.65326,2016-01-27,5.15075,2016-01-27,0.62814
