Date,Corduroy,Date,Wool,Date,Linen,Date,Leather,Date,Denim
2016-01-01,3.37237,2016-01-01,6.77738,2016-01-01,1.59553,2016-01-01,4.70319,2016-01-01,12.76063
2016-01-02,3.83653,2016-01-02,7.23791,2016-01-02,1.78772,2016-01-02,5.65688,2016-01-02,14.64263
2016-01-03,5.08394,2016-01-03,8.22787,2016-01-03,2.25912,2016-01-03,6.11379,2016-01-03,16.55002
2016-01-04,4.14838,2016-01-04,7.93052,2016-01-04,2.81393,2016-01-04,6.30597,2016-01-04,16.33607
2016-01-05,4.53276,2016-01-05,8.43819,2016-01-05,2.85745,2016-01-05,6.40388,2016-01-05,16.0496
2016-01-06,4.54726,2016-01-06,9.66385,2016-01-06,3.15842,2016-01-06,5.94335,2016-01-06,17.35504
2016-01-07,4.22453,2016-01-07,11.80694,2016-01-07,2.87195,2016-01-07,6.22982,2016-01-07,15.8284
2016-01-08,4.14838,2016-01-08,13.68894,2016-01-08,2.67251,2016-01-08,5.79468,2016-01-08,15.20469
2016-01-09,3.82565,2016-01-09,11.21586,2016-01-09,1.97265,2016-01-09,5.49008,2016-01-09,15.33524
2016-01-10,4.50012,2016-01-10,11.58936,2016-01-10,2.31352,2016-01-10,6.18631,2016-01-10,18.96507
2016-01-11,4.54001,2016-01-11,12.40526,2016-01-11,3.10766,2016-01-11,6.46915,2016-01-11,17.44207
2016-01-12,4.4965,2016-01-12,11.41893,2016-01-12,3.2382,2016-01-12,6.01588,2016-01-12,18.62058
2016-01-13,4.51463,2016-01-13,12.97458,2016-01-13,3.27084,2016-01-13,6.88254,2016-01-13,18.12742
2016-01-14,3.76038,2016-01-14,8.36929,2016-01-14,3.30347,2016-01-14,7.82536,2016-01-14,18.06215
2016-01-15,5.22174,2016-01-15,7.53526,2016-01-15,2.82844,2016-01-15,7.499,2016-01-15,16.08224
2016-01-16,3.90542,2016-01-16,6.2951,2016-01-16,2.08507,2016-01-16,7.25967,2016-01-16,15.57819
2016-01-17,4.35507,2016-01-17,8.00304,2016-01-17,2.41142,2016-01-17,7.97766,2016-01-17,19.53439
2016-01-18,4.15201,2016-01-18,9.97207,2016-01-18,3.25271,2016-01-18,8.31852,2016-01-18,19.10287
2016-01-19,4.26442,2016-01-19,10.85324,2016-01-19,3.24908,2016-01-19,7.98128,2016-01-19,18.02589
2016-01-20,4.13025,2016-01-20,10.72995,2016-01-20,3.28534,2016-01-20,7.76734,2016-01-20,18.87805
2016-01-21,3.35061,2016-01-21,10.00471,2016-01-21,3.02788,2016-01-21,7.7202,2016-01-21,18.46103
2016-01-22,3.0859,2016-01-22,9.65659,2016-01-22,2.67614,2016-01-22,7.72382,2016-01-22,17.18098
2016-01-23,2.73778,2016-01-23,7.42647,2016-01-23,2.32802,2016-01-23,7.10011,2016-01-23,17.42756
2016-01-24,3.06052,2016-01-24,9.47166,2016-01-24,2.37879,2016-01-24,8.65576,2016-01-24,20.81082
2016-01-25,3.40501,2016-01-25,10.33107,2016-01-25,2.77405,2016-01-25,8.34753,2016-01-25,20.33216
2016-01-26,7.27417,2016-01-26,11.00192,2016-01-26,2.91909,2016-01-26,8.22061,2016-01-26,20.77818
2016-01-27,9.96845,2016-01-27,10.42535,2016-01-27,3.00612,2016-01-27,8.89509,2016-01-27,22.46437
2016-01-28,5.42118,2016-01-28,10.70457,2016-01-28,2.9336,2016-01-28,8.7718,2016-01-28,22.07999
2016-01-29,5.41393,2016-01-29,8.83344,2016-01-29,2.99524,2016-01-29,8.89146,2016-01-29,21.4998
2016-01-30,6.2262,2016-01-30,8.98574,2016-01-30,2.42593,2016-01-30,9.43177,2016-01-30,23.30927
2016-01-31,3.9707,2016-01-31,10.65743,2016-01-31,2.49483,2016-01-31,9.98295,2016-01-31,26.47496
2016-02-01,3.5972,2016-02-01,10.23679,2016-02-01,2.92997,2016-02-01,9.40638,2016-02-01,25.55027
2016-02-02,3.18381,2016-02-02,9.74725,2016-02-02,3.03876,2016-02-02,9.87779,2016-02-02,24.89755
2016-02-03,3.0025,2016-02-03,8.44181,2016-02-03,3.21644,2016-02-03,8.76455,2016-02-03,23.50872
2016-02-04,2.97349,2016-02-04,7.47724,2016-02-04,3.04964,2016-02-04,8.65576,2016-02-04,23.29114
2016-02-05,2.46219,2016-02-05,7.60416,2016-02-05,2.43681,2016-02-05,8.40555,2016-02-05,24.19044
2016-02-06,2.60361,2016-02-06,6.97682,2016-02-06,1.96177,2016-02-06,8.65576,2016-02-06,27.04427
2016-02-07,2.85745,2016-02-07,3.17656,2016-02-07,1.94364,2016-02-07,8.1916,2016-02-07,28.21554
2016-02-08,3.02425,2016-02-08,2.89734,2016-02-08,1.67168,2016-02-08,8.13358,2016-02-08,29.33966
2016-02-09,3.52467,2016-02-09,3.69873,2016-02-09,2.30626,2016-02-09,9.62758,2016-02-09,38.64452
2016-02-10,4.03597,2016-02-10,4.36233,2016-02-10,3.00975,2016-02-10,11.12521,2016-02-10,46.10001
2016-02-11,3.75312,2016-02-11,4.88087,2016-02-11,3.4739,2016-02-11,11.92297,2016-02-11,48.39177
2016-02-12,3.51017,2016-02-12,4.03597,2016-02-12,3.51379,2016-02-12,13.35895,2016-02-12,51.25285
