Date,Jacket,Date,Coat,Date,Puffer,Date,FieldJacket,Date,Cardigan
2016-01-01,0.10126,2016-01-01,0.6726,2016-01-01,1.08595,2016-01-01,0.15499,2016-01-01,0.10788
2016-01-02,0.12245,2016-01-02,0.76501,2016-01-02,1.04797,2016-01-02,0.15841,2016-01-02,0.12935
2016-01-03,0.13116,2016-01-03,0.79554,2016-01-03,1.05814,2016-01-03,0.17959,2016-01-03,0.1451
2016-01-04,0.12935,2016-01-04,0.72926,2016-01-04,0.96343,2016-01-04,0.15478,2016-01-04,0.1497
2016-01-05,0.12837,2016-01-05,0.68982,2016-01-05,1.07215,2016-01-05,0.16419,2016-01-05,0.16259
2016-01-06,0.1382,2016-01-06,0.70654,2016-01-06,1.10316,2016-01-06,0.15952,2016-01-06,0.16691
2016-01-07,0.13116,2016-01-07,0.75881,2016-01-07,1.09731,2016-01-07,0.16754,2016-01-07,0.16001
2016-01-08,0.12258,2016-01-08,0.74125,2016-01-08,1.05264,2016-01-08,0.14691,2016-01-08,0.14572
2016-01-09,0.1198,2016-01-09,0.72689,2016-01-09,0.95172,2016-01-09,0.13624,2016-01-09,0.14091
2016-01-10,0.14057,2016-01-10,0.82244,2016-01-10,1.0511,2016-01-10,0.15562,2016-01-10,0.17395
2016-01-11,0.14419,2016-01-11,0.79087,2016-01-11,1.08581,2016-01-11,0.16043,2016-01-11,0.17395
2016-01-12,0.13269,2016-01-12,0.717,2016-01-12,1.18589,2016-01-12,0.15457,2016-01-12,0.18461
2016-01-13,0.14419,2016-01-13,0.74773,2016-01-13,1.24994,2016-01-13,0.15374,2016-01-13,0.19158
2016-01-14,0.15778,2016-01-14,0.63866,2016-01-14,1.2114,2016-01-14,0.14238,2016-01-14,0.17688
2016-01-15,0.15318,2016-01-15,0.60186,2016-01-15,0.99709,2016-01-15,0.11945,2016-01-15,0.16893
2016-01-16,0.15283,2016-01-16,0.61559,2016-01-16,0.9297,2016-01-16,0.126,2016-01-16,0.16384
2016-01-17,0.17478,2016-01-17,0.77038,2016-01-17,1.18464,2016-01-17,0.1628,2016-01-17,0.20559
2016-01-18,0.18092,2016-01-18,0.71567,2016-01-18,1.56272,2016-01-18,0.16001,2016-01-18,0.21284
2016-01-19,0.1628,2016-01-19,0.68522,2016-01-19,1.98841,2016-01-19,0.17681,2016-01-19,0.21096
2016-01-20,0.16217,2016-01-20,0.63573,2016-01-20,1.76511,2016-01-20,0.16949,2016-01-20,0.19932
2016-01-21,0.16015,2016-01-21,0.62723,2016-01-21,1.46132,2016-01-21,0.15018,2016-01-21,0.20155
2016-01-22,0.15332,2016-01-22,0.61887,2016-01-22,1.32151,2016-01-22,0.13527,2016-01-22,0.18405
2016-01-23,0.15639,2016-01-23,0.59643,2016-01-23,1.59234,2016-01-23,0.16677,2016-01-23,0.19423
2016-01-24,0.17681,2016-01-24,0.69149,2016-01-24,1.94889,2016-01-24,0.18315,2016-01-24,0.22301
2016-01-25,0.17534,2016-01-25,0.63239,2016-01-25,1.5138,2016-01-25,0.15715,2016-01-25,0.21772
2016-01-26,0.18879,2016-01-26,0.65239,2016-01-26,1.16178,2016-01-26,0.14677,2016-01-26,0.24559
2016-01-27,0.19799,2016-01-27,0.65776,2016-01-27,0.88614,2016-01-27,0.12698,2016-01-27,0.24106
2016-01-28,0.20043,2016-01-28,0.66884,2016-01-28,0.82969,2016-01-28,0.12252,2016-01-28,0.25368
2016-01-29,0.2065,2016-01-29,0.62354,2016-01-29,0.70375,2016-01-29,0.12091,2016-01-29,0.22852
2016-01-30,0.21611,2016-01-30,0.67211,2016-01-30,0.6503,2016-01-30,0.1244,2016-01-30,0.22301
2016-01-31,0.24371,2016-01-31,0.7554,2016-01-31,0.73184,2016-01-31,0.12969,2016-01-31,0.29138
2016-02-01,0.23152,2016-02-01,0.67741,2016-02-01,0.71728,2016-02-01,0.11847,2016-02-01,0.29807
2016-02-02,0.23618,2016-02-02,0.64375,2016-02-02,0.67309,2016-02-02,0.1138,2016-02-02,0.28281
2016-02-03,0.22036,2016-02-03,0.61657,2016-02-03,0.57197,2016-02-03,0.10823,2016-02-03,0.28267
2016-02-04,0.21653,2016-02-04,0.60242,2016-02-04,0.476,2016-02-04,0.09777,2016-02-04,0.27187
2016-02-05,0.21946,2016-02-05,0.61016,2016-02-05,0.46213,2016-02-05,0.09659,2016-02-05,0.23981
2016-02-06,0.23709,2016-02-06,0.6381,2016-02-06,0.48213,2016-02-06,0.09708,2016-02-06,0.2612
2016-02-07,0.2373,2016-02-07,0.53398,2016-02-07,0.4316,2016-02-07,0.08753,2016-02-07,0.25835
2016-02-08,0.22385,2016-02-08,0.56667,2016-02-08,0.43126,2016-02-08,0.08655,2016-02-08,0.27521
2016-02-09,0.28727,2016-02-09,0.66549,2016-02-09,0.47223,2016-02-09,0.11582,2016-02-09,0.33522
2016-02-10,0.33898,2016-02-10,0.77303,2016-02-10,0.47711,2016-02-10,0.13304,2016-02-10,0.43063
2016-02-11,0.35397,2016-02-11,0.76355,2016-02-11,0.37899,2016-02-11,0.13367,2016-02-11,0.46094
2016-02-12,0.39334,2016-02-12,0.6742,2016-02-12,0.31849,2016-02-12,0.126,2016-02-12,0.45788
2016-02-13,0.39035,2016-02-13,0.72194,2016-02-13,0.29751,2016-02-13,0.13576,2016-02-13,0.50018
2016-02-14,0.38986,2016-02-14,0.7294,2016-02-14,0.36693,2016-02-14,0.15158,2016-02-14,0.50367
2016-02-15,0.36052,2016-02-15,0.65295,2016-02-15,0.4247,2016-02-15,0.13018,2016-02-15,0.44784
