Date,Knit,Date,T-Shirt,Date,Shirt,Date,Blouse,Date,Hoodie
2016-01-01,3.93508,2016-01-01,0.34384,2016-01-01,0.48525,2016-01-01,0.89752,2016-01-01,2.69029
2016-01-02,4.57601,2016-01-02,0.40086,2016-01-02,0.57307,2016-01-02,1.01156,2016-01-02,3.15388
2016-01-03,4.8845,2016-01-03,0.44762,2016-01-03,0.65746,2016-01-03,1.37822,2016-01-03,3.39394
2016-01-04,4.40779,2016-01-04,0.50179,2016-01-04,0.68597,2016-01-04,1.35142,2016-01-04,3.2206
2016-01-05,4.47565,2016-01-05,0.48981,2016-01-05,0.65404,2016-01-05,1.40616,2016-01-05,3.14305
2016-01-06,4.38727,2016-01-06,0.48411,2016-01-06,0.68084,2016-01-06,1.38677,2016-01-06,3.22744
2016-01-07,4.308,2016-01-07,0.52745,2016-01-07,0.64149,2016-01-07,1.43752,2016-01-07,3.16357
2016-01-08,3.84271,2016-01-08,0.4231,2016-01-08,0.6164,2016-01-08,1.27273,2016-01-08,2.80833
2016-01-09,3.9003,2016-01-09,0.37064,2016-01-09,0.59245,2016-01-09,1.33032,2016-01-09,2.97255
2016-01-10,4.59939,2016-01-10,0.46415,2016-01-10,0.74584,2016-01-10,1.4991,2016-01-10,3.54904
2016-01-11,4.32967,2016-01-11,0.52004,2016-01-11,0.76295,2016-01-11,1.47629,2016-01-11,3.44013
2016-01-12,4.25611,2016-01-12,0.54855,2016-01-12,0.7926,2016-01-12,1.52932,2016-01-12,3.38995
2016-01-13,4.18826,2016-01-13,0.51718,2016-01-13,0.78861,2016-01-13,1.56012,2016-01-13,3.38995
2016-01-14,3.83529,2016-01-14,0.4881,2016-01-14,0.71619,2016-01-14,1.47344,2016-01-14,3.16015
2016-01-15,3.44241,2016-01-15,0.45161,2016-01-15,0.70593,2016-01-15,1.30922,2016-01-15,2.80434
2016-01-16,3.50514,2016-01-16,0.41397,2016-01-16,0.68882,2016-01-16,1.4398,2016-01-16,3.06207
2016-01-17,4.10786,2016-01-17,0.49552,2016-01-17,0.83423,2016-01-17,1.84808,2016-01-17,3.67677
2016-01-18,4.02632,2016-01-18,0.54798,2016-01-18,0.79716,2016-01-18,1.71921,2016-01-18,3.60663
2016-01-19,4.14948,2016-01-19,0.50065,2016-01-19,0.78975,2016-01-19,1.65534,2016-01-19,3.76287
2016-01-20,3.93223,2016-01-20,0.48069,2016-01-20,0.79146,2016-01-20,1.53617,2016-01-20,3.55817
2016-01-21,3.68361,2016-01-21,0.48696,2016-01-21,0.74299,2016-01-21,1.50994,2016-01-21,3.43443
2016-01-22,3.42302,2016-01-22,0.43735,2016-01-22,0.72645,2016-01-22,1.41756,2016-01-22,3.26393
2016-01-23,3.50799,2016-01-23,0.42139,2016-01-23,0.72417,2016-01-23,1.38335,2016-01-23,3.47434
2016-01-24,4.12553,2016-01-24,0.50407,2016-01-24,0.7869,2016-01-24,1.68271,2016-01-24,4.01263
2016-01-25,3.88718,2016-01-25,0.52289,2016-01-25,0.74014,2016-01-25,1.59889,2016-01-25,3.8045
2016-01-26,3.69103,2016-01-26,0.5303,2016-01-26,0.85247,2016-01-26,1.64394,2016-01-26,3.56387
2016-01-27,3.47206,2016-01-27,0.51205,2016-01-27,0.87357,2016-01-27,1.81843,2016-01-27,3.51312
2016-01-28,3.29644,2016-01-28,0.56223,2016-01-28,0.86217,2016-01-28,2.05051,2016-01-28,3.3928
2016-01-29,2.86649,2016-01-29,0.51205,2016-01-29,0.79944,2016-01-29,1.8515,2016-01-29,3.04839
2016-01-30,2.89842,2016-01-30,0.47727,2016-01-30,0.81142,2016-01-30,1.98835,2016-01-30,3.28332
2016-01-31,3.34205,2016-01-31,0.605,2016-01-31,0.94542,2016-01-31,2.21986,2016-01-31,3.96188
2016-02-01,3.14419,2016-02-01,0.54227,2016-02-01,0.92831,2016-02-01,2.19705,2016-02-01,3.47948
2016-02-02,2.98624,2016-02-02,0.55653,2016-02-02,0.90893,2016-02-02,2.14915,2016-02-02,3.15844
2016-02-03,2.67204,2016-02-03,0.53429,2016-02-03,0.8462,2016-02-03,2.09954,2016-02-03,2.9811
2016-02-04,2.49813,2016-02-04,0.45731,2016-02-04,0.77207,2016-02-04,2.04309,2016-02-04,2.72679
2016-02-05,2.29228,2016-02-05,0.38831,2016-02-05,0.69794,2016-02-05,1.75228,2016-02-05,2.83855
2016-02-06,2.43882,2016-02-06,0.42709,2016-02-06,0.74698,2016-02-06,1.85606,2016-02-06,3.19094
2016-02-07,2.32763,2016-02-07,0.39459,2016-02-07,0.739,2016-02-07,1.80246,2016-02-07,3.23827
2016-02-08,2.29969,2016-02-08,0.38717,2016-02-08,0.81826,2016-02-08,1.77851,2016-02-08,3.77314
2016-02-09,2.77925,2016-02-09,0.49666,2016-02-09,0.95853,2016-02-09,2.2056,2016-02-09,4.71172
2016-02-10,3.07747,2016-02-10,0.66544,2016-02-10,1.1986,2016-02-10,2.87333,2016-02-10,5.50204
2016-02-11,2.71025,2016-02-11,0.64092,2016-02-11,1.23794,2016-02-11,2.87789,2016-02-11,5.1679
2016-02-12,2.48273,2016-02-12,0.6797,2016-02-12,1.10451,2016-02-12,2.88132,2016-02-12,4.69575
2016-02-13,2.50098,2016-02-13,0.69509,2016-02-13,1.1775,2016-02-13,3.20577,2016-02-13,4.79383
2016-02-14,2.79122,2016-02-14,0.71562,2016-02-14,1.26303,2016-02-14,3.73208,2016-02-14,5.16333
2016-02-15,2.55572,2016-02-15,0.72588,2016-02-15,1.19289,2016-02-15,3.14248,2016-02-15,4.80809
2016-02-16,2.493,2016-02-16,0.69338,2016-02-16,1.20715,2016-02-16,3.16414,2016-02-16,4.66781
2016-02-17,2.36641,2016-02-17,0.68825,2016-02-17,1.141,2016-02-17,2.99422,2016-02-17,4.52469
2016-02-18,2.17595,2016-02-18,0.66772,2016-02-18,1.07429,2016-02-18,2.99023,2016-02-18,4.28463
2016-02-19,1.9741,2016-02-19,0.68483,2016-02-19,0.9363,2016-02-19,2.74674,2016-02-19,3.98127
2016-02-20,2.01344,2016-02-20,0.6586,2016-02-20,0.93173,2016-02-20,2.87732,2016-02-20,4.32397
2016-02-21,2.27859,2016-02-21,0.72874,2016-02-21,1.17066,2016-02-21,3.4943,2016-02-21,5.11144
2016-02-22,2.17139,2016-02-22,0.75326,2016-02-22,1.13074,2016-02-22,3.20406,2016-02-22,4.80581
2016-02-23,2.3111,2016-02-23,0.77435,2016-02-23,1.18035,2016-02-23,3.18068,2016-02-23,4.99569
2016-02-24,2.04879,2016-02-24,0.71163,2016-02-24,1.13644,2016-02-24,2.92009,2016-02-24,4.55263
2016-02-25,1.8572,2016-02-25,0.75097,2016-02-25,1.00871,2016-02-25,3.00619,2016-02-25,4.43402
2016-02-26,1.74829,2016-02-26,0.63294,2016-02-26,0.92717,2016-02-26,2.74902,2016-02-26,3.90486
2016-02-27,1.75399,2016-02-27,0.69623,2016-02-27,1.04407,2016-02-27,3.05067,2016-02-27,4.24129
2016-02-28,1.95642,2016-02-28,0.78462,2016-02-28,1.20658,2016-02-28,3.93964,2016-02-28,4.9438
2016-02-29,1.70381,2016-02-29,0.72874,2016-02-29,1.10565,2016-02-29,3.24055,2016-02-29,4.47907
2016-03-01,1.90966,2016-03-01,0.81826,2016-03-01,1.19974,2016-03-01,3.66081,2016-03-01,4.74821
2016-03-02,1.44949,2016-03-02,0.73216,2016-03-02,0.98533,2016-03-02,2.93321,2016-03-02,3.32038
2016-03-03,1.32119,2016-03-03,0.76067,2016-03-03,0.9534,2016-03-03,2.99308,2016-03-03,3.0883
2016-03-04,1.27729,2016-03-04,0.81028,2016-03-04,0.97564,2016-03-04,3.12138,2016-03-04,3.16414
2016-03-05,1.70153,2016-03-05,0.94941,2016-03-05,1.21855,2016-03-05,3.63286,2016-03-05,4.52925
2016-03-06,1.86461,2016-03-06,1.18833,2016-03-06,1.43296,2016-03-06,4.41692,2016-03-06,5.20781
2016-03-07,1.62455,2016-03-07,1.15298,2016-03-07,1.28071,2016-03-07,4.03316,2016-03-07,3.88832
2016-03-08,1.57323,2016-03-08,1.01784,2016-03-08,1.15412,2016-03-08,3.77941,2016-03-08,3.7891
2016-03-09,1.52476,2016-03-09,0.9363,2016-03-09,0.99332,2016-03-09,3.55417,2016-03-09,3.45039
2016-03-10,1.49682,2016-03-10,0.83936,2016-03-10,0.97735,2016-03-10,3.49829,2016-03-10,3.17156
2016-03-11,1.48941,2016-03-11,0.83081,2016-03-11,0.88669,2016-03-11,3.3278,2016-03-11,3.06036
2016-03-12,1.58407,2016-03-12,0.89524,2016-03-12,1.07372,2016-03-12,3.49544,2016-03-12,4.60623
2016-03-13,1.85207,2016-03-13,1.07144,2016-03-13,1.36396,2016-03-13,4.63816,2016-03-13,5.88238
2016-03-14,1.57836,2016-03-14,1.01841,2016-03-14,1.16153,2016-03-14,3.94934,2016-03-14,3.89916
2016-03-15,1.56468,2016-03-15,1.06174,2016-03-15,1.13644,2016-03-15,4.27322,2016-03-15,3.88661
2016-03-16,1.36738,2016-03-16,1.13245,2016-03-16,1.22882,2016-03-16,3.98697,2016-03-16,3.98241
2016-03-17,1.20373,2016-03-17,1.08968,2016-03-17,1.13017,2016-03-17,3.87692,2016-03-17,3.80393
2016-03-18,1.11306,2016-03-18,1.09482,2016-03-18,1.06859,2016-03-18,3.80564,2016-03-18,3.66993
2016-03-19,1.28014,2016-03-19,1.34799,2016-03-19,1.48713,2016-03-19,4.34678,2016-03-19,5.59043
2016-03-20,1.43638,2016-03-20,1.52191,2016-03-20,1.7768,2016-03-20,5.22492,2016-03-20,6.55068
2016-03-21,1.14842,2016-03-21,1.40559,2016-03-21,1.46831,2016-03-21,4.51385,2016-03-21,4.38384
2016-03-22,1.18833,2016-03-22,1.37536,2016-03-22,1.3708,2016-03-22,4.80524,2016-03-22,3.79595
2016-03-23,1.08512,2016-03-23,1.27729,2016-03-23,1.30124,2016-03-23,4.48876,2016-03-23,3.81762
2016-03-24,1.07429,2016-03-24,1.12276,2016-03-24,1.19575,2016-03-24,3.91683,2016-03-24,3.36372
2016-03-25,1.02468,2016-03-25,1.04977,2016-03-25,1.08398,2016-03-25,3.58782,2016-03-25,3.43101
2016-03-26,1.26702,2016-03-26,1.19004,2016-03-26,1.2465,2016-03-26,3.94078,2016-03-26,5.32927
2016-03-27,1.35256,2016-03-27,1.34115,2016-03-27,1.64451,2016-03-27,4.69632,2016-03-27,6.16635
2016-03-28,1.07771,2016-03-28,1.28356,2016-03-28,1.31549,2016-03-28,4.2105,2016-03-28,3.86723
2016-03-29,1.0492,2016-03-29,1.23794,2016-03-29,1.30124,2016-03-29,4.44258,2016-03-29,3.74748
2016-03-30,1.00016,2016-03-30,1.30523,2016-03-30,1.23281,2016-03-30,4.24129,2016-03-30,3.54847
2016-03-31,0.942,2016-03-31,1.23851,2016-03-31,1.18833,2016-03-31,4.27265,2016-03-31,3.06493
2016-04-01,0.87072,2016-04-01,1.28584,2016-04-01,1.30523,2016-04-01,4.15291,2016-04-01,2.59792
2016-04-02,1.0013,2016-04-02,1.45234,2016-04-02,1.4934,2016-04-02,4.80581,2016-04-02,3.96074
2016-04-03,1.09482,2016-04-03,1.74601,2016-04-03,1.84352,2016-04-03,6.02266,2016-04-03,4.92498
2016-04-04,0.93116,2016-04-04,1.53959,2016-04-04,1.54586,2016-04-04,5.05385,2016-04-04,3.14704
2016-04-05,0.86046,2016-04-05,1.5048,2016-04-05,1.39931,2016-04-05,5.15421,2016-04-05,2.89443
2016-04-06,0.85818,2016-04-06,1.52875,2016-04-06,1.32576,2016-04-06,4.76019,2016-04-06,2.71025
2016-04-07,0.77777,2016-04-07,1.36225,2016-04-07,1.29154,2016-04-07,4.32967,2016-04-07,2.31509
2016-04-08,0.72303,2016-04-08,1.32519,2016-04-08,1.28755,2016-04-08,4.15519,2016-04-08,2.23982
2016-04-09,0.8405,2016-04-09,1.34286,2016-04-09,1.3919,2016-04-09,4.46425,2016-04-09,3.08089
2016-04-10,0.87984,2016-04-10,1.72605,2016-04-10,1.74031,2016-04-10,5.32471,2016-04-10,3.66309
